A-4RN,B-2RN,C-6RN,D-5RN,E-10RO,F-20RO,   Class
c,b,?,?,3,11,c2
b,b,d,c,10,11,c1
c,b,f,d,3,11,c2
d,b,a,c,3,?,c1
d,b,a,c,8,?,c1
c,b,d,e,8,18,c1
b,b,c,e,9,?,c2
a,b,?,d,2,13,c2
d,?,c,e,2,13,c2
a,a,f,d,7,?,c2
b,b,c,d,1,11,c2
b,a,f,d,9,12,c2
b,b,f,d,8,13,c2
b,b,d,d,?,8,c1
c,a,d,b,8,15,c1
?,b,d,a,4,18,c1
a,a,a,e,5,6,c1
?,?,d,a,?,2,c1
b,a,c,d,9,11,c2
b,b,c,e,2,14,c2
b,a,?,c,1,7,c1
c,a,f,d,9,11,c2
c,b,c,e,1,13,c2
d,b,d,a,2,20,c1
b,a,f,d,6,14,c2
d,b,d,?,2,12,c1
c,a,c,d,6,11,c2
c,a,d,b,8,15,c1
c,a,c,?,8,11,c2
b,b,a,a,4,20,c1
c,a,d,e,7,11,c1
d,a,a,c,3,18,c1
c,?,c,e,4,11,c2
b,a,f,d,4,14,c2
a,b,c,e,2,12,c2
b,?,?,?,9,12,c2
b,a,d,a,?,13,c1
c,a,d,c,?,16,c1
b,b,c,d,5,13,c2
d,b,?,b,10,4,c1
d,a,c,e,6,13,c2
?,a,a,c,1,18,c1
b,b,f,d,7,14,c2
a,a,a,?,1,6,c1
c,?,a,b,8,2,c1
c,a,?,d,10,14,c2
?,a,c,e,9,14,c2
b,b,a,d,3,13,c1
a,a,d,a,6,2,c1
b,b,d,b,6,16,c1
b,b,f,e,3,11,c2
c,b,a,b,10,6,c1
b,a,a,c,7,4,c1
d,?,?,e,?,14,c2
c,b,f,?,9,13,c2
c,a,c,d,3,12,c2
a,?,f,d,10,?,c2
a,?,c,e,1,13,c2
d,a,a,b,9,?,c1
d,b,a,d,1,19,c1
d,a,a,d,1,9,c1
d,b,f,e,10,13,c2
c,b,a,a,5,15,c1
?,b,c,d,5,13,c2
c,a,f,d,?,13,c2
c,a,c,?,4,13,c2
a,b,a,a,3,1,c1
b,b,c,d,6,?,c2
d,a,f,?,6,12,c2
a,b,c,?,10,12,c2
d,a,a,c,10,15,c1
b,b,a,?,5,?,c1
b,b,?,d,8,13,c2
b,b,c,d,6,12,c2
b,b,?,e,8,14,c2
a,a,c,e,6,13,c2
d,a,d,d,?,9,c1
c,a,c,d,3,12,c2
?,b,c,e,6,12,c2
c,a,c,e,10,12,c2
?,b,f,d,?,13,c2
d,b,c,d,2,14,c2
c,a,c,d,10,13,c2
c,a,f,e,?,14,c2
?,b,a,b,1,10,c1
b,b,f,d,6,13,c2
?,b,a,e,5,?,c1
b,a,c,?,10,12,c2
c,a,c,e,?,13,c2
b,b,d,e,7,17,c1
c,b,d,c,9,4,c1
d,b,f,d,2,12,c2
c,a,a,d,3,15,c1
?,a,a,a,?,10,c1
d,a,a,c,?,?,c1
d,a,a,c,3,15,c1
d,b,d,?,9,17,c1
b,b,c,e,?,11,c2
c,b,f,e,9,14,c2
d,b,a,a,6,19,c1
b,?,d,b,2,12,c1
b,b,d,a,3,17,c1
a,b,a,?,8,3,c1
a,?,?,e,4,13,c2
d,a,a,c,?,9,c1
d,a,c,d,3,14,c2
b,b,f,d,1,13,c2
b,b,c,e,1,13,c2
c,a,d,d,2,20,c1
c,b,?,?,3,11,c2
b,a,c,e,5,12,c2
?,b,?,?,3,13,c2
d,a,?,d,?,4,c1
b,b,a,b,5,7,c1
?,b,d,c,10,13,c1
?,b,f,d,2,13,c2
c,a,c,?,2,?,c2
?,b,f,e,2,13,c2
c,b,c,e,10,?,c2
b,a,d,c,3,12,c1
c,?,d,c,4,3,c1
d,b,d,d,?,17,c1
a,a,c,e,4,13,c2
d,b,a,a,8,2,c1
d,a,f,?,3,14,c2
d,b,f,e,3,?,c2
d,b,c,e,?,14,c2
a,a,f,d,7,11,c2
d,a,c,e,2,11,c2
c,a,a,b,?,4,c1
a,a,f,d,6,?,c2
?,a,c,e,?,14,c2
a,b,a,c,9,12,c1
b,b,c,e,7,11,c2
?,a,c,?,10,12,c2
a,a,f,e,10,14,c2
?,b,c,d,?,11,c2
c,b,a,d,4,15,c1
a,a,f,d,8,12,c2
b,a,f,d,2,12,c2
b,a,d,a,2,5,c1
b,b,f,e,2,11,c2
a,?,d,?,4,13,c1
d,b,d,d,?,?,c1
d,b,d,b,7,1,c1
b,a,a,b,9,8,c1
c,b,a,c,6,20,c1
d,a,a,d,10,18,c1
d,b,a,c,6,3,c1
a,b,d,b,10,5,c1
a,a,c,d,3,11,c2
d,b,f,e,7,13,c2
?,b,d,c,5,2,c1
d,b,?,e,8,11,c2
b,b,c,d,5,?,c2
c,b,d,a,7,6,c1
a,?,f,e,2,14,c2
?,b,d,c,6,13,c1
d,b,f,e,3,14,c2
c,a,?,?,6,13,c2
c,a,c,e,10,11,c2
?,b,d,e,2,5,c1
b,b,?,b,2,6,c1
b,b,f,e,5,11,c2
b,b,a,c,7,1,c1
d,b,a,d,8,9,c1
d,b,c,e,7,12,c2
a,a,f,d,10,11,c2
b,b,d,e,1,19,c1
a,b,d,e,9,12,c1
d,?,a,b,9,?,c1
a,a,?,e,1,14,c2
b,a,c,e,7,14,c2
d,b,a,a,4,11,c1
a,b,a,a,7,2,c1
a,a,f,d,5,14,c2
a,b,f,d,7,13,c2
?,b,d,d,3,12,c1
c,a,c,d,4,12,c2
a,a,a,c,3,4,c1
d,?,c,d,10,13,c2
b,a,c,d,1,11,c2
c,a,c,e,2,12,c2
d,a,c,d,2,13,c2
a,a,d,a,10,1,c1
b,b,d,c,5,3,c1
d,a,f,d,?,14,c2
b,?,f,e,6,14,c2
c,b,d,c,7,18,c1
b,a,d,e,4,1,c1
a,b,?,e,5,?,c2
?,a,a,a,3,13,c1
c,a,c,d,5,13,c2
c,b,c,e,4,13,c2
b,a,d,c,6,19,c1
b,b,f,?,4,11,c2
?,b,d,d,4,6,c1
a,b,c,d,2,14,c2
b,a,?,b,5,4,c1
a,b,f,e,4,14,c2
b,b,a,e,3,13,c1
b,?,f,e,?,11,c2
c,b,a,c,2,10,c1
a,a,a,c,5,18,c1
c,b,f,d,5,12,c2
d,b,f,d,4,12,c2
d,b,?,e,8,10,c1
d,b,c,e,?,11,c2
a,b,?,?,7,14,c2
b,?,c,d,5,14,c2
b,a,c,d,10,12,c2
a,b,?,d,3,14,c2
d,b,d,c,1,?,c1
a,b,c,e,3,11,c2
b,b,d,e,10,4,c1
d,b,d,e,6,5,c1
b,b,a,a,7,?,c1
?,b,c,e,1,13,c2
d,?,c,d,4,14,c2
c,a,?,b,9,11,c1
c,b,f,e,9,13,c2
a,b,c,e,6,12,c2
?,a,a,d,3,3,c1
a,b,a,c,1,18,c1
a,b,?,e,2,12,c2
c,b,c,e,10,11,c2
a,a,a,c,10,20,c1
a,b,d,c,1,15,c1
a,a,c,e,3,13,c2
b,b,a,c,5,16,c1
c,b,a,b,4,19,c1
a,a,a,?,6,18,c1
b,?,a,c,2,5,c1
b,a,d,b,3,14,c1
b,a,a,e,5,?,c1
d,b,c,d,6,13,c2
a,b,c,d,4,13,c2
a,a,a,d,5,6,c1
?,a,c,d,2,13,c2
c,a,a,b,2,13,c1
b,?,c,e,10,12,c2
c,?,a,c,5,3,c1
b,?,c,e,6,13,c2
a,a,a,e,5,3,c1
b,a,c,?,6,14,c2
c,a,d,d,3,6,c1
c,b,a,?,6,2,c1
d,a,d,d,6,3,c1
b,b,f,d,4,11,c2
d,b,d,c,5,4,c1
b,?,c,d,?,?,c2
d,b,c,e,4,14,c2
b,a,c,e,1,13,c2
b,a,f,?,7,12,c2
d,?,d,d,6,2,c1
c,a,?,e,1,12,c2
a,b,c,e,10,13,c2
b,?,c,?,7,14,c2
c,?,?,?,7,12,c2
d,a,f,d,9,14,c2
?,b,c,?,3,14,c2
b,?,d,c,5,2,c1
b,b,f,e,?,13,c2
a,b,?,d,6,14,c2
c,?,a,e,?,16,c1
d,b,a,d,?,8,c1
a,a,?,e,1,3,c1
d,a,c,e,7,11,c2
d,b,f,d,3,12,c2
b,a,f,d,5,11,c2
?,b,d,b,8,?,c1
b,a,d,d,9,3,c1
d,a,a,a,5,5,c1
d,b,a,b,9,15,c1
a,b,?,b,10,9,c1
c,b,f,d,?,11,c2
c,b,f,d,8,13,c2
b,?,c,e,3,13,c2
d,a,a,b,3,2,c1
d,b,d,d,2,19,c1
c,a,d,c,5,17,c1
b,a,a,a,2,8,c1
a,b,f,d,6,11,c2
a,b,a,d,5,7,c1
b,b,a,e,10,12,c1
b,?,c,e,1,12,c2
?,a,d,a,1,17,c1
d,a,a,b,5,2,c1
b,a,d,e,?,15,c1
c,a,f,d,2,12,c2
a,a,c,e,3,14,c2
a,?,f,e,5,14,c2
d,a,c,d,5,11,c2
d,a,f,d,10,14,c2
d,a,?,?,1,11,c2
?,a,d,e,9,12,c1
?,b,f,d,3,?,c2
d,a,d,c,4,17,c1
c,b,c,e,2,11,c2
b,b,c,d,8,11,c2
c,b,d,?,7,18,c1
a,b,c,e,8,13,c2
d,b,a,c,4,2,c1
?,a,a,c,4,5,c1
b,b,c,e,1,12,c2
d,b,?,e,9,12,c2
c,b,f,e,2,?,c2
c,b,d,e,?,4,c1
d,a,d,c,2,6,c1
b,a,d,d,8,13,c1
d,a,c,d,5,13,c2
b,b,c,d,10,13,c2
a,a,d,b,2,8,c1
b,b,a,c,4,20,c1
?,a,d,b,6,?,c1
a,a,d,b,7,20,c1
a,b,?,?,10,12,c2
c,b,d,c,7,10,c1
a,a,f,d,7,12,c2
c,a,?,e,4,15,c1
c,b,f,e,9,12,c2
b,b,f,e,4,11,c2
a,b,a,d,5,2,c1
c,b,?,e,1,12,c2
?,?,a,e,2,1,c1
d,b,d,b,10,5,c1
b,b,d,d,5,?,c1
c,b,d,d,2,?,c1
b,b,d,a,8,7,c1
a,?,f,d,10,12,c2
d,a,c,e,10,12,c2
c,b,c,d,8,14,c2
b,b,?,d,1,11,c2
?,a,d,d,3,19,c1
b,b,d,e,?,20,c1
c,a,c,d,4,14,c2
c,b,c,e,2,11,c2
c,a,d,a,9,5,c1
d,a,c,e,6,12,c2
b,b,d,b,2,18,c1
b,a,d,b,2,5,c1
b,a,d,b,9,4,c1
?,b,a,a,?,7,c1
d,b,d,d,7,1,c1
c,b,c,d,4,14,c2
d,a,d,d,?,7,c1
b,b,c,d,4,12,c2
d,b,a,e,9,?,c1
b,a,f,e,5,13,c2
d,b,a,e,10,6,c1
b,b,c,e,3,13,c2
d,a,c,e,7,13,c2
a,a,c,d,3,11,c2
c,a,c,e,1,13,c2
b,b,?,e,2,11,c2
b,b,d,e,9,20,c1
a,a,d,?,7,18,c1
c,b,c,d,1,14,c2
c,b,f,?,?,12,c2
a,?,a,e,7,13,c1
a,a,c,e,5,13,c2
c,b,c,e,3,13,c2
d,a,f,d,5,13,c2
a,b,c,?,3,13,c2
b,b,f,d,7,14,c2
c,a,f,e,9,13,c2
a,b,f,e,7,11,c2
?,b,a,a,3,18,c1
b,b,a,e,10,?,c1
b,a,d,a,5,6,c1
?,a,f,d,9,11,c2
b,a,c,d,8,14,c2
b,a,?,e,7,11,c2
d,b,c,e,7,13,c2
b,a,a,c,8,?,c1
d,b,f,e,10,14,c2
?,?,?,e,?,14,c2
b,b,f,d,9,11,c2
b,b,f,?,8,12,c2
c,a,c,d,7,12,c2
?,b,d,c,3,12,c1
a,b,a,a,3,7,c1
d,b,d,d,6,12,c1
c,a,a,b,2,12,c1
d,b,a,c,2,1,c1
a,b,c,e,2,11,c2
c,a,d,b,7,?,c1
b,a,d,c,1,5,c1
a,b,d,b,10,12,c1
?,b,a,c,10,18,c1
c,a,?,d,6,13,c2
a,a,f,d,?,14,c2
d,b,c,d,1,?,c2
a,a,f,e,6,13,c2
?,b,a,e,3,7,c1
a,a,c,e,2,11,c2
a,b,c,d,?,?,c2
d,b,a,c,2,16,c1
a,b,a,d,10,5,c1
b,b,f,?,4,11,c2
?,b,a,d,5,9,c1
d,b,?,d,7,?,c2
b,a,f,e,4,11,c2
b,a,c,d,4,13,c2
b,a,a,b,7,?,c1
b,?,d,b,1,2,c1
b,a,d,a,2,4,c1
b,b,f,d,2,12,c2
b,a,c,d,2,?,c2
?,b,a,b,5,10,c1
d,a,a,d,8,18,c1
?,a,?,b,6,16,c1
d,b,c,e,5,11,c2
c,a,a,d,1,14,c1
d,a,c,d,7,11,c2
d,b,a,d,9,3,c1
b,a,a,b,7,8,c1
a,a,d,d,7,?,c1
d,a,f,d,10,14,c2
a,b,d,d,?,4,c1
a,a,c,e,10,?,c2
b,a,a,d,?,11,c1
a,b,f,?,4,14,c2
c,a,d,?,1,4,c1
c,?,a,a,4,17,c1
?,a,d,d,6,15,c1
a,b,f,e,?,14,c2
?,a,c,e,5,12,c2
d,a,f,d,?,14,c2
a,a,d,a,5,3,c1
b,a,f,d,5,14,c2
b,b,d,b,2,2,c1
a,b,f,e,?,13,c2
b,b,f,d,3,13,c2
b,a,d,d,?,16,c1
b,a,a,c,?,13,c1
c,b,c,?,9,13,c2
c,a,c,d,8,?,c2
d,a,c,e,?,14,c2
b,a,c,e,10,13,c2
b,a,a,c,5,9,c1
?,b,c,d,7,14,c2
b,b,f,d,3,14,c2
c,a,f,e,1,14,c2
d,b,f,d,5,?,c2
a,b,c,d,8,13,c2
d,b,a,c,6,3,c1
b,b,f,e,7,13,c2
c,b,f,e,1,?,c2
b,a,a,b,9,14,c1
a,a,f,d,8,?,c2
c,?,f,?,7,12,c2
d,b,d,e,5,18,c1
d,?,a,b,2,16,c1
a,b,f,d,7,12,c2
c,b,f,d,7,14,c2
b,a,d,b,9,10,c1
b,a,f,e,6,12,c2
a,a,d,?,?,14,c1
c,b,d,a,5,16,c1
d,?,d,e,3,?,c1
c,b,a,a,1,15,c1
a,a,?,d,4,12,c2
?,?,a,a,4,20,c1
?,a,d,e,3,13,c1
d,b,f,d,?,12,c2
a,a,a,?,4,20,c1
c,a,a,e,8,4,c1
c,a,d,b,7,17,c1
b,a,f,d,7,13,c2
d,b,?,a,2,19,c1
c,a,c,e,3,13,c2
d,b,f,d,?,13,c2
c,b,?,?,5,?,c1
a,b,f,e,8,12,c2
a,a,d,b,?,6,c1
c,b,a,a,7,13,c1
a,b,f,e,5,14,c2
?,a,c,e,7,12,c2
a,b,d,a,?,11,c1
d,b,f,d,4,13,c2
?,a,c,d,6,12,c2
d,?,d,c,5,16,c1
d,a,c,d,10,?,c2
d,a,a,d,9,10,c1
d,b,f,d,10,12,c2
a,a,d,c,2,4,c1
?,a,?,?,1,13,c2
a,b,a,b,7,9,c1
a,b,?,e,8,14,c2
a,b,f,e,10,13,c2
a,a,d,e,4,19,c1
d,b,c,e,8,14,c2
b,b,f,d,2,11,c2
a,a,?,e,3,12,c2
d,?,?,a,10,10,c1
c,?,d,d,6,4,c1
c,?,c,d,8,11,c2
b,a,a,d,5,17,c1
c,a,?,a,2,18,c1
b,b,a,b,9,?,c1
c,b,d,d,?,12,c1
a,b,d,a,8,14,c1
a,a,d,a,?,?,c1
a,b,a,c,2,16,c1
c,b,c,d,5,?,c2
a,b,d,d,?,9,c1
d,b,?,c,2,9,c1
d,?,d,a,3,7,c1
a,b,a,c,4,1,c1
?,a,c,e,1,14,c2
d,a,f,e,9,14,c2
c,?,d,b,5,2,c1
?,b,a,c,3,13,c1
b,a,c,?,?,12,c2
c,?,c,d,5,11,c2
b,a,d,b,3,11,c1
a,b,f,e,2,11,c2
d,a,c,d,8,13,c2
a,a,c,e,2,13,c2
a,b,a,c,3,?,c1
a,b,d,e,8,19,c1
a,b,c,e,8,11,c2
a,b,d,c,10,4,c1
a,b,d,a,?,12,c1
c,a,f,e,8,14,c2
c,b,c,e,10,14,c2
a,a,d,b,6,15,c1
a,b,?,d,9,12,c2
b,b,d,?,?,17,c1
c,a,c,e,8,11,c2
a,a,d,e,2,16,c1
?,?,d,a,4,20,c1
b,a,f,e,4,14,c2
d,b,f,e,?,12,c2
d,?,?,e,7,14,c2
b,b,d,b,1,2,c1
a,?,a,c,?,18,c1
c,b,d,e,7,14,c1
b,a,c,d,1,?,c2
b,a,a,?,10,20,c1
d,b,d,b,9,11,c1
b,b,d,e,6,10,c1
d,b,d,e,5,12,c1
c,b,a,a,10,13,c1
c,b,d,b,2,2,c1
d,a,a,c,2,1,c1
c,a,?,?,10,12,c2
b,b,c,d,?,13,c2
?,a,d,b,3,6,c1
d,?,c,e,8,11,c2
b,?,d,e,9,10,c1
b,a,a,b,10,9,c1
d,a,f,?,10,14,c2
a,b,f,e,8,13,c2
a,a,a,a,9,20,c1
c,b,a,c,6,10,c1
?,a,d,b,9,19,c1
c,b,f,e,9,?,c2
d,a,f,d,10,12,c2
b,a,f,e,6,14,c2
d,b,?,a,1,5,c1
?,b,f,d,4,12,c2
d,a,?,d,7,5,c1
c,b,d,b,?,19,c1
?,b,c,d,5,11,c2
c,b,c,e,6,13,c2
d,b,?,a,1,18,c1
b,b,a,d,9,3,c1
d,b,a,e,1,2,c1
b,a,d,?,9,18,c1
a,a,a,c,8,12,c1
b,a,c,d,7,14,c2
b,a,a,d,10,19,c1
d,a,f,d,?,12,c2
d,?,f,d,9,11,c2
d,a,d,c,2,3,c1
d,b,c,d,3,12,c2
?,b,?,d,1,12,c2
c,b,a,a,5,?,c1
a,b,?,d,4,?,c2
c,b,f,d,10,?,c2
b,b,f,e,9,12,c2
b,a,f,e,7,14,c2
d,a,d,d,1,?,c1
c,a,f,?,2,?,c2
c,a,?,c,?,12,c1
c,a,c,d,7,12,c2
c,b,d,?,1,17,c1
b,b,f,e,4,12,c2
d,b,c,e,5,13,c2
a,b,d,b,5,15,c1
c,b,f,e,1,13,c2
b,a,c,d,6,14,c2
a,a,d,?,1,4,c1
c,b,f,d,9,14,c2
a,b,d,c,6,10,c1
c,b,f,e,4,12,c2
a,a,d,e,5,20,c1
c,?,a,a,8,19,c1
c,a,?,d,5,11,c2
a,a,d,c,5,4,c1
d,b,c,e,2,14,c2
c,b,d,d,10,17,c1
a,a,a,c,5,19,c1
a,b,c,e,9,12,c2
c,a,d,c,5,3,c1
?,a,f,d,2,12,c2
c,b,d,d,?,16,c1
c,b,a,e,9,2,c1
d,b,?,e,6,11,c2
b,a,f,e,5,11,c2
d,b,d,b,9,2,c1
c,a,a,d,?,13,c1
b,a,c,e,3,12,c2
c,a,f,?,4,14,c2
a,b,c,e,6,13,c2
b,b,c,e,6,11,c2
a,a,c,d,7,13,c2
b,b,c,d,10,13,c2
b,a,d,a,9,2,c1
c,a,c,?,1,13,c2
c,a,f,d,8,14,c2
c,b,a,a,3,9,c1
b,b,a,d,1,3,c1
a,b,d,c,9,5,c1
c,a,c,e,7,14,c2
a,a,?,?,1,5,c1
b,b,a,c,1,2,c1
c,a,d,b,6,9,c1
a,a,d,d,10,11,c1
d,a,?,e,7,11,c2
a,a,f,e,9,12,c2
c,b,c,e,1,13,c2
c,b,f,d,8,?,c2
b,b,?,b,7,10,c1
b,a,c,e,6,12,c2
c,a,d,b,4,14,c1
?,a,f,?,4,13,c2
a,b,c,e,7,13,c2
c,b,d,?,1,2,c1
a,a,a,a,8,5,c1
b,b,d,e,2,9,c1
c,b,d,c,?,4,c1
d,a,a,a,6,?,c1
a,b,d,d,10,7,c1
c,a,c,d,1,11,c2
b,b,?,e,?,12,c2
b,a,f,e,4,14,c2
?,a,c,d,10,?,c2
a,b,f,d,3,13,c2
?,a,d,b,10,12,c1
b,a,?,b,10,14,c1
c,b,?,a,10,11,c1
d,b,c,d,3,14,c2
a,a,a,e,8,9,c1
b,b,a,c,8,11,c1
d,a,f,e,4,?,c2
c,b,f,d,7,13,c2
c,b,d,d,1,4,c1
b,a,d,c,?,?,c1
c,?,c,d,2,11,c2
?,b,f,e,5,11,c2
b,a,a,d,2,14,c1
a,?,?,d,10,14,c2
c,a,a,a,6,17,c1
c,a,?,e,1,7,c1
d,b,f,e,5,11,c2
c,a,?,?,1,1,c1
a,?,c,e,8,12,c2
b,a,?,d,3,11,c2
a,b,?,d,9,13,c2
d,a,c,?,1,11,c2
d,b,f,e,4,13,c2
a,a,d,e,1,8,c1
d,b,a,d,9,16,c1
b,b,?,e,?,12,c2
a,a,c,e,10,12,c2
d,b,c,e,4,13,c2
c,a,a,d,?,11,c1
b,?,d,c,8,18,c1
d,a,d,a,8,1,c1
d,b,c,d,?,11,c2
c,b,?,d,3,11,c2
a,a,c,e,2,11,c2
a,b,?,a,6,9,c1
?,a,d,b,7,17,c1
d,b,c,e,9,12,c2
d,a,d,e,3,19,c1
a,b,f,e,2,14,c2
?,a,a,d,?,15,c1
?,b,f,d,6,12,c2
d,a,d,?,5,12,c1
b,b,?,e,7,13,c2
a,b,d,e,7,2,c1
a,a,f,e,9,12,c2
d,b,d,c,8,8,c1
b,a,?,e,4,11,c2
b,?,c,?,6,11,c2
a,b,f,d,?,?,c2
d,a,f,d,8,?,c2
c,b,d,d,2,?,c1
a,a,f,d,9,11,c2
?,a,d,a,1,20,c1
a,b,d,?,3,11,c1
b,a,f,e,6,13,c2
a,a,d,d,6,6,c1
a,a,a,e,2,10,c1
?,a,f,d,8,11,c2
a,a,f,e,5,12,c2
?,b,a,?,6,12,c1
c,a,f,e,?,14,c2
c,a,f,e,3,11,c2
d,b,f,?,3,14,c2
b,b,a,?,9,6,c1
?,a,f,d,9,14,c2
b,b,f,d,10,14,c2
a,a,f,d,6,13,c2
d,a,?,?,5,13,c2
b,b,d,a,1,16,c1
c,?,d,b,6,15,c1
b,b,d,c,?,8,c1
d,b,f,d,3,11,c2
d,b,?,?,10,?,c1
b,a,d,c,9,17,c1
c,b,?,e,9,14,c1
a,a,c,d,5,14,c2
a,a,a,b,2,8,c1
a,?,d,b,7,10,c1
c,a,c,?,9,12,c2
b,a,a,?,?,18,c1
?,a,d,e,8,9,c1
b,a,a,a,3,16,c1
a,b,d,c,?,7,c1
c,b,f,?,1,12,c2
b,a,c,e,1,14,c2
c,a,d,a,9,6,c1
d,a,a,e,10,17,c1
?,b,a,b,10,1,c1
d,a,?,e,7,14,c2
c,a,c,d,1,14,c2
d,b,f,d,6,13,c2
b,a,d,b,3,14,c1
a,b,d,a,9,13,c1
a,?,a,a,7,3,c1
a,a,a,b,?,12,c1
b,?,d,d,1,6,c1
b,a,a,e,3,6,c1
a,b,?,d,3,12,c2
?,a,f,?,5,14,c2
d,a,a,c,6,14,c1
a,?,f,d,6,?,c2
c,b,a,b,2,4,c1
d,b,a,b,6,?,c1
b,a,a,e,10,16,c1
d,b,?,d,3,13,c2
d,a,a,b,3,13,c1
?,b,a,?,9,16,c1
d,a,?,d,6,13,c2
a,b,a,?,?,7,c1
d,?,d,d,4,?,c1
a,b,d,a,2,11,c1
c,a,f,e,?,11,c2
b,a,?,e,10,11,c2
a,?,f,e,2,13,c2
d,a,c,d,7,13,c2
c,b,f,e,6,11,c2
d,b,a,e,1,14,c1
c,a,a,e,4,5,c1
c,a,f,e,1,13,c2
a,a,a,d,8,?,c1
b,b,d,c,7,7,c1
a,a,a,e,2,4,c1
a,?,f,d,5,12,c2
b,b,d,e,10,?,c1
d,a,f,d,8,11,c2
c,b,c,d,3,12,c2
b,a,a,c,8,3,c1
c,a,c,d,8,11,c2
d,b,d,c,8,16,c1
a,a,a,b,7,15,c1
c,a,c,d,7,12,c2
c,?,c,d,10,12,c2
a,b,d,b,6,11,c1
a,b,d,c,2,4,c1
a,a,d,d,5,3,c1
?,b,d,e,1,?,c1
d,a,d,c,1,3,c1
a,a,f,d,2,11,c2
c,b,d,b,1,15,c1
?,b,d,d,3,12,c1
b,b,a,a,8,13,c1
b,b,f,e,2,14,c2
d,b,d,d,?,4,c1
d,b,d,c,8,5,c1
a,a,c,e,7,12,c2
a,a,d,a,8,18,c1
d,a,a,b,10,9,c1
b,a,d,c,3,13,c1
b,b,f,e,9,14,c2
?,b,a,d,4,17,c1
a,a,a,b,4,6,c1
d,b,d,d,2,4,c1
c,b,f,e,2,12,c2
c,a,?,e,5,14,c2
b,a,c,d,3,14,c2
?,b,d,c,10,14,c1
d,?,d,e,7,13,c1
b,b,d,b,3,12,c1
c,a,?,a,5,19,c1
a,a,c,e,?,11,c2
b,b,d,?,10,2,c1
b,a,d,c,5,?,c1
c,a,d,b,3,19,c1
c,a,d,e,1,11,c1
a,b,a,b,10,11,c1
d,b,d,b,8,5,c1
?,b,d,e,8,14,c1
c,a,a,b,10,18,c1
b,a,f,d,6,12,c2
a,a,a,d,?,11,c1
c,a,f,d,?,11,c2
b,a,d,d,7,10,c1
c,a,f,d,4,11,c2
b,b,c,e,4,14,c2
?,a,c,e,?,11,c2
a,a,c,?,6,11,c2
a,b,d,c,4,9,c1
a,b,c,d,9,12,c2
b,a,f,e,9,13,c2
a,b,c,d,5,12,c2
d,a,a,?,10,?,c1
d,a,?,c,8,9,c1
?,b,f,d,10,11,c2
?,b,d,c,7,6,c1
c,b,?,e,10,14,c2
a,b,c,e,2,11,c2
b,b,f,d,10,11,c2
a,b,?,d,1,13,c2
c,a,d,a,7,12,c1
a,b,a,e,5,7,c1
c,?,f,e,5,?,c2
c,b,f,d,1,13,c2
c,a,a,b,10,5,c1
c,b,d,d,10,5,c1
b,b,c,d,3,?,c2
a,a,f,e,8,11,c2
c,a,?,c,3,10,c1
c,b,d,b,?,14,c1
a,b,a,e,7,7,c1
b,b,d,a,6,14,c1
d,b,d,?,2,?,c1
d,a,f,d,?,12,c2
b,a,c,d,2,13,c2
?,?,?,d,7,12,c2
?,b,f,?,4,11,c2
c,a,d,d,?,11,c1
a,a,c,d,2,13,c2
